Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Differentially Expressed?,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Sdk2,SDK2,Q6V4S5,SDK2_MOUSE,Protein sidekick-2,4467,5905,tdTomato enriched,-0.41,0.01570,0.04874
Cops4,COPS4,O88544,CSN4_MOUSE,COP9 signalosome complex subunit 4,7184,11609,tdTomato enriched,-0.71,0.01574,0.04881
Hagh,HAGH,Q99KB8,GLO2_MOUSE,"Hydroxyacylglutathione hydrolase, mitochondrial",15868,25432,tdTomato enriched,-0.72,0.01575,0.04881
Cacna2d1,CACNA2D1,O08532,CA2D1_MOUSE,Voltage-dependent calcium channel subunit alpha-2/delta-1,14291,25324,tdTomato enriched,-0.88,0.01578,0.04887
Atp5if1,NA,O35143,ATIF1_MOUSE,"ATPase inhibitor, mitochondrial",18603,39998,tdTomato enriched,-1.21,0.01582,0.04898
Oat,OAT,P29758,OAT_MOUSE,"Ornithine aminotransferase, mitochondrial",14061,25616,tdTomato enriched,-0.93,0.01590,0.04912
Cox5a,COX5A,P12787,COX5A_MOUSE,"Cytochrome c oxidase subunit 5A, mitochondrial",11604,30264,tdTomato enriched,-1.40,0.01598,0.04929
Got1,GOT1,P05201,AATC_MOUSE,"Aspartate aminotransferase, cytoplasmic",116361,231296,tdTomato enriched,-1.08,0.01606,0.04939
Yars1,NA,Q91WQ3,SYYC_MOUSE,"Tyrosine--tRNA ligase, cytoplasmic",14001,22402,tdTomato enriched,-0.72,0.01615,0.04964
Hnrnpa2b1,HNRNPA2B1,O88569,ROA2_MOUSE,Heterogeneous nuclear ribonucleoproteins A2/B1,38389,65565,tdTomato enriched,-0.82,0.01622,0.04976
Tpm3,TPM3,P21107,TPM3_MOUSE,Tropomyosin alpha-3 chain,30879,53969,tdTomato enriched,-0.86,0.01632,0.04985
Syne1,SYNE1,Q6ZWR6,SYNE1_MOUSE,Nesprin-1,4494,6396,tdTomato enriched,-0.51,0.01648,0.05018
Idh3a,IDH3A,Q9D6R2,IDH3A_MOUSE,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",66521,149989,tdTomato enriched,-1.31,0.01648,0.05018
Ppa1,PPA1,Q9D819,IPYR_MOUSE,Inorganic pyrophosphatase,19277,30955,tdTomato enriched,-0.71,0.01655,0.05033
Aldh6a1,ALDH6A1,Q9EQ20,MMSA_MOUSE,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",15967,27649,tdTomato enriched,-0.85,0.01661,0.05040
Kif5c,KIF5C,P28738,KIF5C_MOUSE,Kinesin heavy chain isoform 5C,14096,22842,tdTomato enriched,-0.73,0.01667,0.05056
Thop1,THOP1,Q8C1A5,THOP1_MOUSE,Thimet oligopeptidase,7337,12539,tdTomato enriched,-0.81,0.01678,0.05085
Phb,PHB,P67778,PHB_MOUSE,Prohibitin,34070,57869,tdTomato enriched,-0.75,0.01680,0.05090
Ctbp1,CTBP1,O88712,CTBP1_MOUSE,C-terminal-binding protein 1,31193,46879,tdTomato enriched,-0.61,0.01687,0.05100
Tuba1a,TUBA1A,P68369,TBA1A_MOUSE,Tubulin alpha-1A chain,1273401,1897871,tdTomato enriched,-0.60,0.01689,0.05100
Mapk3,MAPK3,Q63844,MK03_MOUSE,Mitogen-activated protein kinase 3,11874,18439,tdTomato enriched,-0.67,0.01689,0.05100
Nutf2,NUTF2,P61971,NTF2_MOUSE,Nuclear transport factor 2,9897,17310,tdTomato enriched,-0.84,0.01705,0.05138
Rps14,RPS14,P62264,RS14_MOUSE,40S ribosomal protein S14,13302,22096,tdTomato enriched,-0.76,0.01714,0.05159
Mdh2,MDH2,P08249,MDHM_MOUSE,"Malate dehydrogenase, mitochondrial",307268,557066,tdTomato enriched,-0.92,0.01718,0.05165
Ube2k,UBE2K,P61087,UBE2K_MOUSE,Ubiquitin-conjugating enzyme E2 K,2877,5024,tdTomato enriched,-0.82,0.01743,0.05217
Qdpr,QDPR,Q8BVI4,DHPR_MOUSE,Dihydropteridine reductase,33087,60458,tdTomato enriched,-0.94,0.01744,0.05217
Sez6l2,SEZ6L2,Q4V9Z5,SE6L2_MOUSE,Seizure 6-like protein 2,4759,7829,tdTomato enriched,-0.76,0.01745,0.05217
H1-0,NA,P10922,H10_MOUSE,Histone H1.0,23505,84780,tdTomato enriched,-1.53,0.01749,0.05223
Nipsnap1,NIPSNAP1,O55125,NIPS1_MOUSE,Protein NipSnap homolog 1,33125,69113,tdTomato enriched,-1.17,0.01773,0.05276
Ppp1r7,PPP1R7,Q3UM45,PP1R7_MOUSE,Protein phosphatase 1 regulatory subunit 7,8565,18530,tdTomato enriched,-1.11,0.01774,0.05276
Sirt2,SIRT2,Q8VDQ8,SIR2_MOUSE,NAD-dependent protein deacetylase sirtuin-2,54172,72155,tdTomato enriched,-0.43,0.01775,0.05276
Fbxo2,FBXO2,Q80UW2,FBX2_MOUSE,F-box only protein 2,4711,8538,tdTomato enriched,-0.91,0.01778,0.05284
Ncan,NCAN,P55066,NCAN_MOUSE,Neurocan core protein,23195,40933,tdTomato enriched,-0.88,0.01781,0.05289
Vcan,VCAN,Q62059,CSPG2_MOUSE,Versican core protein,9837,17299,tdTomato enriched,-0.86,0.01798,0.05328
Erp29,ERP29,P57759,ERP29_MOUSE,Endoplasmic reticulum resident protein 29,4539,9209,tdTomato enriched,-1.06,0.01805,0.05342
Sdhb,SDHB,Q9CQA3,SDHB_MOUSE,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",26484,47695,tdTomato enriched,-0.92,0.01806,0.05342
Acp1,ACP1,Q9D358,PPAC_MOUSE,Low molecular weight phosphotyrosine protein phosphatase,18281,27302,tdTomato enriched,-0.60,0.01810,0.05346
Adss2,NA,P46664,PURA2_MOUSE,Adenylosuccinate synthetase isozyme 2,14414,21514,tdTomato enriched,-0.60,0.01816,0.05362
Atp5pf,NA,P97450,ATP5J_MOUSE,"ATP synthase-coupling factor 6, mitochondrial",7475,16345,tdTomato enriched,-1.15,0.01827,0.05386
Eif3k,EIF3K,Q9DBZ5,EIF3K_MOUSE,Eukaryotic translation initiation factor 3 subunit K,2785,4485,tdTomato enriched,-0.72,0.01837,0.05411
Dpysl3,DPYSL3,Q62188,DPYL3_MOUSE,Dihydropyrimidinase-related protein 3,96277,183882,tdTomato enriched,-1.00,0.01847,0.05430
Dnaja2,DNAJA2,Q9QYJ0,DNJA2_MOUSE,DnaJ homolog subfamily A member 2,23003,33402,tdTomato enriched,-0.56,0.01850,0.05435
Rtcb,RTCB,Q99LF4,RTCB_MOUSE,RNA-splicing ligase RtcB homolog,10244,17083,tdTomato enriched,-0.79,0.01851,0.05435
Cct3,CCT3,P80318,TCPG_MOUSE,T-complex protein 1 subunit gamma,18104,30651,tdTomato enriched,-0.80,0.01863,0.05466
Rufy1,RUFY1,Q8BIJ7,RUFY1_MOUSE,RUN and FYVE domain-containing protein 1,27943,37874,tdTomato enriched,-0.42,0.01865,0.05467
Isyna1,ISYNA1,Q9JHU9,INO1_MOUSE,Inositol-3-phosphate synthase 1,6712,11271,tdTomato enriched,-0.80,0.01870,0.05474
Ak4,AK4,Q9WUR9,KAD4_MOUSE,"Adenylate kinase 4, mitochondrial",6160,11235,tdTomato enriched,-0.87,0.01875,0.05482
Hpca,HPCA,P84075,HPCA_MOUSE,Neuron-specific calcium-binding protein hippocalcin,10877,16931,tdTomato enriched,-0.67,0.01878,0.05485
Itpa,ITPA,Q9D892,ITPA_MOUSE,Inosine triphosphate pyrophosphatase,8046,12048,tdTomato enriched,-0.61,0.01879,0.05485
Aars1,NA,Q8BGQ7,SYAC_MOUSE,"Alanine--tRNA ligase, cytoplasmic",17649,26493,tdTomato enriched,-0.58,0.01900,0.05532
Fbxo16,FBXO16,Q9QZM9,FBX16_MOUSE,F-box only protein 16,16653,23367,tdTomato enriched,-0.51,0.01907,0.05544
Camkk2,CAMKK2,Q8C078,KKCC2_MOUSE,Calcium/calmodulin-dependent protein kinase kinase 2,13945,19039,tdTomato enriched,-0.44,0.01926,0.05571
Aldh2,ALDH2,P47738,ALDH2_MOUSE,"Aldehyde dehydrogenase, mitochondrial",26976,43882,tdTomato enriched,-0.73,0.01927,0.05571
Glg1,GLG1,Q61543,GSLG1_MOUSE,Golgi apparatus protein 1,5079,9178,tdTomato enriched,-0.91,0.01929,0.05571
Hnrnph2,HNRNPH2,P70333,HNRH2_MOUSE,Heterogeneous nuclear ribonucleoprotein H2,22378,42396,tdTomato enriched,-1.00,0.01930,0.05571
Oxct1,OXCT1,Q9D0K2,SCOT1_MOUSE,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",49893,96754,tdTomato enriched,-1.04,0.01963,0.05644
Chchd6,CHCHD6,Q91VN4,MIC25_MOUSE,MICOS complex subunit Mic25,9190,15115,tdTomato enriched,-0.76,0.01969,0.05652
Hba,NA,P01942,HBA_MOUSE,Hemoglobin subunit alpha,122578,276179,tdTomato enriched,-1.26,0.01973,0.05658
Rab31,RAB31,Q921E2,RAB31_MOUSE,Ras-related protein Rab-31,4773,7644,tdTomato enriched,-0.62,0.01974,0.05658
Scrn1,SCRN1,Q9CZC8,SCRN1_MOUSE,Secernin-1,12662,25016,tdTomato enriched,-1.08,0.01976,0.05658
Ndufs6,NDUFS6,P52503,NDUS6_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",6582,12008,tdTomato enriched,-0.95,0.01983,0.05671
Mapre3,MAPRE3,Q6PER3,MARE3_MOUSE,Microtubule-associated protein RP/EB family member 3,39647,65906,tdTomato enriched,-0.79,0.01988,0.05675
Lhfpl4,LHFPL4,Q5U4E0,LHPL4_MOUSE,LHFPL tetraspan subfamily member 4 protein,3795,5114,tdTomato enriched,-0.43,0.01989,0.05675
Hprt1,NA,P00493,HPRT_MOUSE,Hypoxanthine-guanine phosphoribosyltransferase,8310,15370,tdTomato enriched,-0.94,0.01990,0.05675
Omg,OMG,Q63912,OMGP_MOUSE,Oligodendrocyte-myelin glycoprotein,5871,10597,tdTomato enriched,-0.93,0.01995,0.05685
Psma4,PSMA4,Q9R1P0,PSA4_MOUSE,Proteasome subunit alpha type-4,26319,38644,tdTomato enriched,-0.56,0.02011,0.05724
Rps19,RPS19,Q9CZX8,RS19_MOUSE,40S ribosomal protein S19,3682,6775,tdTomato enriched,-0.85,0.02016,0.05734
Eloc,ELOC,P83940,ELOC_MOUSE,Elongin-C,4761,7551,tdTomato enriched,-0.69,0.02032,0.05770
Exog,EXOG,Q8C163,EXOG_MOUSE,"Nuclease EXOG, mitochondrial",4369,7720,tdTomato enriched,-0.77,0.02061,0.05832
Khdrbs1,KHDRBS1,Q60749,KHDR1_MOUSE,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",11770,19918,tdTomato enriched,-0.78,0.02062,0.05832
Ube2l3,UBE2L3,P68037,UB2L3_MOUSE,Ubiquitin-conjugating enzyme E2 L3,6428,11875,tdTomato enriched,-0.95,0.02063,0.05832
Wasf1,WASF1,Q8R5H6,WASF1_MOUSE,Wiskott-Aldrich syndrome protein family member 1,14617,24570,tdTomato enriched,-0.78,0.02076,0.05857
Arsb,ARSB,P50429,ARSB_MOUSE,Arylsulfatase B,6111,10910,tdTomato enriched,-0.90,0.02080,0.05863
Atp5po,NA,Q9DB20,ATPO_MOUSE,"ATP synthase subunit O, mitochondrial",40044,89789,tdTomato enriched,-1.14,0.02099,0.05901
Tubb2b,TUBB2B,Q9CWF2,TBB2B_MOUSE,Tubulin beta-2B chain,26184,42732,tdTomato enriched,-0.74,0.02109,0.05924
Mthfd1l,MTHFD1L,Q3V3R1,C1TM_MOUSE,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",8229,13199,tdTomato enriched,-0.71,0.02134,0.05982
Uqcrc1,UQCRC1,Q9CZ13,QCR1_MOUSE,"Cytochrome b-c1 complex subunit 1, mitochondrial",142416,275084,tdTomato enriched,-1.05,0.02137,0.05984
Gpx1,GPX1,P11352,GPX1_MOUSE,Glutathione peroxidase 1,4498,7485,tdTomato enriched,-0.73,0.02139,0.05986
Psmc1,PSMC1,P62192,PRS4_MOUSE,26S proteasome regulatory subunit 4,11542,19796,tdTomato enriched,-0.81,0.02145,0.05995
Bag6,BAG6,Q9Z1R2,BAG6_MOUSE,Large proline-rich protein BAG6,4368,8875,tdTomato enriched,-1.11,0.02145,0.05995
Ndufb10,NDUFB10,Q9DCS9,NDUBA_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,14089,31189,tdTomato enriched,-1.23,0.02151,0.06007
Pgam1,PGAM1,Q9DBJ1,PGAM1_MOUSE,Phosphoglycerate mutase 1,61842,90502,tdTomato enriched,-0.55,0.02152,0.06007
Sh3bgrl3,SH3BGRL3,Q91VW3,SH3L3_MOUSE,SH3 domain-binding glutamic acid-rich-like protein 3,9872,17783,tdTomato enriched,-0.91,0.02156,0.06010
Cpe,CPE,Q00493,CBPE_MOUSE,Carboxypeptidase E,4914,8421,tdTomato enriched,-0.85,0.02164,0.06026
Wdr26,WDR26,Q8C6G8,WDR26_MOUSE,WD repeat-containing protein 26,6526,10125,tdTomato enriched,-0.66,0.02165,0.06026
Map1s,MAP1S,Q8C052,MAP1S_MOUSE,Microtubule-associated protein 1S,7812,12980,tdTomato enriched,-0.77,0.02172,0.06042
Cryz,CRYZ,P47199,QOR_MOUSE,Quinone oxidoreductase,5999,8601,tdTomato enriched,-0.55,0.02175,0.06048
Ndufb8,NDUFB8,Q9D6J5,NDUB8_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",7157,15457,tdTomato enriched,-1.06,0.02190,0.06077
Mdh1,MDH1,P14152,MDHC_MOUSE,"Malate dehydrogenase, cytoplasmic",504556,788272,tdTomato enriched,-0.69,0.02191,0.06078
Ppp2r5e,PPP2R5E,Q61151,2A5E_MOUSE,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,7630,11367,tdTomato enriched,-0.61,0.02193,0.06078
Ociad2,OCIAD2,Q9D8W7,OCAD2_MOUSE,OCIA domain-containing protein 2,5947,7591,tdTomato enriched,-0.36,0.02202,0.06090
Cars1,NA,Q9ER72,SYCC_MOUSE,"Cysteine--tRNA ligase, cytoplasmic",8330,13703,tdTomato enriched,-0.77,0.02216,0.06110
App,APP,P12023,A4_MOUSE,Amyloid-beta A4 protein,5789,9030,tdTomato enriched,-0.68,0.02226,0.06130
Ak3,AK3,Q9WTP7,KAD3_MOUSE,"GTP:AMP phosphotransferase AK3, mitochondrial",3431,6680,tdTomato enriched,-0.93,0.02233,0.06143
Pck2,PCK2,Q8BH04,PCKGM_MOUSE,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",4277,6291,tdTomato enriched,-0.58,0.02241,0.06156
Uqcrc2,UQCRC2,Q9DB77,QCR2_MOUSE,"Cytochrome b-c1 complex subunit 2, mitochondrial",46311,82307,tdTomato enriched,-0.90,0.02252,0.06176
Matr3,MATR3,Q8K310,MATR3_MOUSE,Matrin-3,14627,26351,tdTomato enriched,-0.93,0.02257,0.06187
Lonp1,LONP1,Q8CGK3,LONM_MOUSE,"Lon protease homolog, mitochondrial",9485,15289,tdTomato enriched,-0.71,0.02276,0.06236
Syn1,SYN1,O88935,SYN1_MOUSE,Synapsin-1,268206,386526,tdTomato enriched,-0.53,0.02280,0.06240
Itpka,ITPKA,Q8R071,IP3KA_MOUSE,Inositol-trisphosphate 3-kinase A,20904,35228,tdTomato enriched,-0.80,0.02280,0.06240
Hp1bp3,HP1BP3,Q3TEA8,HP1B3_MOUSE,Heterochromatin protein 1-binding protein 3,11375,14921,tdTomato enriched,-0.40,0.02295,0.06264
Aco2,ACO2,Q99KI0,ACON_MOUSE,"Aconitate hydratase, mitochondrial",187482,351568,tdTomato enriched,-1.00,0.02300,0.06275
Acot13,ACOT13,Q9CQR4,ACO13_MOUSE,Acyl-coenzyme A thioesterase 13,29705,55547,tdTomato enriched,-0.97,0.02309,0.06291
Srsf4,SRSF4,Q8VE97,SRSF4_MOUSE,Serine/arginine-rich splicing factor 4,16344,71082,tdTomato enriched,-1.60,0.02313,0.06298
Rras2,RRAS2,P62071,RRAS2_MOUSE,Ras-related protein R-Ras2,8043,10137,tdTomato enriched,-0.34,0.02333,0.06335
Letm1,LETM1,Q9Z2I0,LETM1_MOUSE,Mitochondrial proton/calcium exchanger protein,8797,13215,tdTomato enriched,-0.60,0.02342,0.06353
Rps12,RPS12,P63323,RS12_MOUSE,40S ribosomal protein S12,7673,12535,tdTomato enriched,-0.76,0.02344,0.06354
Kpnb1,KPNB1,P70168,IMB1_MOUSE,Importin subunit beta-1,11241,21842,tdTomato enriched,-1.04,0.02352,0.06372
Cox4i1,COX4I1,P19783,COX41_MOUSE,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",109993,194588,tdTomato enriched,-0.77,0.02371,0.06404
Atp6v1c1,ATP6V1C1,Q9Z1G3,VATC1_MOUSE,V-type proton ATPase subunit C 1,28966,43920,tdTomato enriched,-0.63,0.02388,0.06441
Ndufb1,NA,P0DN34,NDUB1_MOUSE,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,9317,16421,tdTomato enriched,-0.81,0.02397,0.06455
Map2k1,MAP2K1,P31938,MP2K1_MOUSE,Dual specificity mitogen-activated protein kinase kinase 1,26338,40350,tdTomato enriched,-0.65,0.02419,0.06490
Psmc2,PSMC2,P46471,PRS7_MOUSE,26S proteasome regulatory subunit 7,12672,19134,tdTomato enriched,-0.62,0.02428,0.06510
Ctsd,CTSD,P07339,CATD_HUMAN,Cathepsin D,21519,28402,tdTomato enriched,-0.41,0.02432,0.06513
Has1,HAS1,Q61647,HYAS1_MOUSE,Hyaluronan synthase 1,14646,23357,tdTomato enriched,-0.73,0.02432,0.06513
Opa1,OPA1,P58281,OPA1_MOUSE,"Dynamin-like 120 kDa protein, mitochondrial",12939,23049,tdTomato enriched,-0.89,0.02438,0.06522
Ywhab,YWHAB,Q9CQV8,1433B_MOUSE,14-3-3 protein beta/alpha,72374,124063,tdTomato enriched,-0.82,0.02447,0.06538
Khsrp,KHSRP,Q3U0V1,FUBP2_MOUSE,Far upstream element-binding protein 2,7173,12838,tdTomato enriched,-0.89,0.02456,0.06548
H1-4,NA,P43274,H14_MOUSE,Histone H1.4,46808,239173,tdTomato enriched,-1.82,0.02468,0.06575
Mmut,NA,P16332,MUTA_MOUSE,"Methylmalonyl-CoA mutase, mitochondrial",2792,4438,tdTomato enriched,-0.71,0.02492,0.06631
Ckmt1,NA,P30275,KCRU_MOUSE,"Creatine kinase U-type, mitochondrial",78413,174165,tdTomato enriched,-1.27,0.02514,0.06683
Pacsin1,PACSIN1,Q61644,PACN1_MOUSE,Protein kinase C and casein kinase substrate in neurons protein 1,27973,51689,tdTomato enriched,-0.98,0.02516,0.06686
Aldoc,ALDOC,P05063,ALDOC_MOUSE,Fructose-bisphosphate aldolase C,85703,141019,tdTomato enriched,-0.77,0.02528,0.06705
Nptn,NPTN,P97300,NPTN_MOUSE,Neuroplastin,98590,138519,tdTomato enriched,-0.50,0.02540,0.06729
Grb2,GRB2,Q60631,GRB2_MOUSE,Growth factor receptor-bound protein 2,9028,13848,tdTomato enriched,-0.62,0.02549,0.06746
Fech,FECH,P22315,HEMH_MOUSE,"Ferrochelatase, mitochondrial",3596,6213,tdTomato enriched,-0.85,0.02558,0.06757
Rpl36a,RPL36A,P83882,RL36A_MOUSE,60S ribosomal protein L36a,17135,23342,tdTomato enriched,-0.46,0.02559,0.06757
Cd200,CD200,O54901,OX2G_MOUSE,OX-2 membrane glycoprotein,11065,19221,tdTomato enriched,-0.86,0.02563,0.06762
Ppp1ca,PPP1CA,P62137,PP1A_MOUSE,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,20996,29640,tdTomato enriched,-0.52,0.02566,0.06762
Ndufa6,NDUFA6,Q9CQZ5,NDUA6_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,7168,17493,tdTomato enriched,-1.19,0.02576,0.06785
Gyg1,NA,Q9R062,GLYG_MOUSE,Glycogenin-1,2878,4090,tdTomato enriched,-0.53,0.02583,0.06797
Napg,NAPG,Q9CWZ7,SNAG_MOUSE,Gamma-soluble NSF attachment protein,18793,32264,tdTomato enriched,-0.86,0.02586,0.06800
Naxd,NAXD,Q9CZ42,NNRD_MOUSE,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,5788,9127,tdTomato enriched,-0.69,0.02608,0.06846
Vcp,VCP,Q01853,TERA_MOUSE,Transitional endoplasmic reticulum ATPase,45945,73431,tdTomato enriched,-0.71,0.02610,0.06846
Actn4,ACTN4,P57780,ACTN4_MOUSE,Alpha-actinin-4,9427,16241,tdTomato enriched,-0.86,0.02612,0.06846
Ak1,AK1,Q9R0Y5,KAD1_MOUSE,Adenylate kinase isoenzyme 1,31102,49511,tdTomato enriched,-0.69,0.02623,0.06864
Tubb2a,TUBB2A,Q7TMM9,TBB2A_MOUSE,Tubulin beta-2A chain,335203,580014,tdTomato enriched,-0.83,0.02630,0.06878
Glrx,GLRX,Q9QUH0,GLRX1_MOUSE,Glutaredoxin-1,7435,10865,tdTomato enriched,-0.57,0.02637,0.06889
Ndufs1,NDUFS1,Q91VD9,NDUS1_MOUSE,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",41696,81105,tdTomato enriched,-1.06,0.02648,0.06910
Ckb,CKB,Q04447,KCRB_MOUSE,Creatine kinase B-type,539943,1065921,tdTomato enriched,-1.11,0.02657,0.06918
Cox6b1,COX6B1,P56391,CX6B1_MOUSE,Cytochrome c oxidase subunit 6B1,14184,26254,tdTomato enriched,-0.90,0.02658,0.06918
Mif,MIF,P34884,MIF_MOUSE,Macrophage migration inhibitory factor,75304,146435,tdTomato enriched,-1.00,0.02661,0.06918
Psma3,PSMA3,O70435,PSA3_MOUSE,Proteasome subunit alpha type-3,6649,12231,tdTomato enriched,-0.99,0.02662,0.06918
Tf,NA,P02787,TRFE_HUMAN,Serotransferrin,17362,30148,tdTomato enriched,-0.82,0.02686,0.06974
Stx1a,STX1A,O35526,STX1A_MOUSE,Syntaxin-1A,21632,44839,tdTomato enriched,-1.07,0.02686,0.06974
Gmps,GMPS,Q3THK7,GUAA_MOUSE,GMP synthase [glutamine-hydrolyzing],9272,13321,tdTomato enriched,-0.55,0.02695,0.06981
Ttll12,TTLL12,Q3UDE2,TTL12_MOUSE,Tubulin--tyrosine ligase-like protein 12,1987,2575,tdTomato enriched,-0.39,0.02698,0.06981
Mapk1,MAPK1,P63085,MK01_MOUSE,Mitogen-activated protein kinase 1,56613,99142,tdTomato enriched,-0.89,0.02701,0.06985
Nop56,NOP56,Q9D6Z1,NOP56_MOUSE,Nucleolar protein 56,2896,4746,tdTomato enriched,-0.71,0.02713,0.07003
Uchl5,UCHL5,Q9WUP7,UCHL5_MOUSE,Ubiquitin carboxyl-terminal hydrolase isozyme L5,3067,4044,tdTomato enriched,-0.41,0.02714,0.07003
Srsf2,SRSF2,Q62093,SRSF2_MOUSE,Serine/arginine-rich splicing factor 2,5600,29169,tdTomato enriched,-1.72,0.02729,0.07030
Acta2,ACTA2,P62737,ACTA_MOUSE,"Actin, aortic smooth muscle",34222,50419,tdTomato enriched,-0.60,0.02733,0.07036
Atp6v1a,ATP6V1A,P50516,VATA_MOUSE,V-type proton ATPase catalytic subunit A,134608,188025,tdTomato enriched,-0.48,0.02740,0.07052
P4hb,P4HB,P09103,PDIA1_MOUSE,Protein disulfide-isomerase,5759,10541,tdTomato enriched,-0.95,0.02743,0.07052
Fkbp1a,FKBP1A,P26883,FKB1A_MOUSE,Peptidyl-prolyl cis-trans isomerase FKBP1A,7919,13278,tdTomato enriched,-0.82,0.02743,0.07052
Camk4,CAMK4,P08414,KCC4_MOUSE,Calcium/calmodulin-dependent protein kinase type IV,7893,10710,tdTomato enriched,-0.45,0.02747,0.07056
Psmb2,PSMB2,Q9R1P3,PSB2_MOUSE,Proteasome subunit beta type-2,4925,7455,tdTomato enriched,-0.59,0.02748,0.07056
Fabp5,FABP5,Q05816,FABP5_MOUSE,Fatty acid-binding protein 5,21183,35748,tdTomato enriched,-0.83,0.02782,0.07128
Gng7,GNG7,Q61016,GBG7_MOUSE,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,5510,9982,tdTomato enriched,-0.90,0.02823,0.07209
Psma7,PSMA7,Q9Z2U0,PSA7_MOUSE,Proteasome subunit alpha type-7,17228,26093,tdTomato enriched,-0.63,0.02850,0.07261
Hk1,HK1,P17710,HXK1_MOUSE,Hexokinase-1,155673,245126,tdTomato enriched,-0.69,0.02856,0.07274
Sod1,SOD1,P00441,SODC_HUMAN,Superoxide dismutase [Cu-Zn],55495,94036,tdTomato enriched,-0.81,0.02872,0.07305
Mtx2,MTX2,O88441,MTX2_MOUSE,Metaxin-2,6874,9530,tdTomato enriched,-0.50,0.02882,0.07319
Trim28,TRIM28,Q62318,TIF1B_MOUSE,Transcription intermediary factor 1-beta,6673,11726,tdTomato enriched,-0.88,0.02891,0.07338
Ephb6,EPHB6,O08644,EPHB6_MOUSE,Ephrin type-B receptor 6,13491,18991,tdTomato enriched,-0.51,0.02906,0.07369
L1cam,L1CAM,P11627,L1CAM_MOUSE,Neural cell adhesion molecule L1,7462,13595,tdTomato enriched,-0.95,0.02917,0.07391
Syncrip,SYNCRIP,Q7TMK9,HNRPQ_MOUSE,Heterogeneous nuclear ribonucleoprotein Q,17960,23044,tdTomato enriched,-0.37,0.02930,0.07422
Rad23b,RAD23B,P54728,RD23B_MOUSE,UV excision repair protein RAD23 homolog B,8034,10646,tdTomato enriched,-0.42,0.02939,0.07436
Stx1b,STX1B,P61264,STX1B_MOUSE,Syntaxin-1B,55674,101897,tdTomato enriched,-0.83,0.02948,0.07450
Hspa8,HSPA8,P63017,HSP7C_MOUSE,Heat shock cognate 71 kDa protein,296768,472682,tdTomato enriched,-0.69,0.02951,0.07455
Rps3a,NA,P97351,RS3A_MOUSE,40S ribosomal protein S3a,15306,20568,tdTomato enriched,-0.43,0.02954,0.07459
Glud1,GLUD1,P26443,DHE3_MOUSE,"Glutamate dehydrogenase 1, mitochondrial",81919,150807,tdTomato enriched,-0.97,0.02964,0.07476
Oplah,OPLAH,Q8K010,OPLA_MOUSE,5-oxoprolinase,3971,6191,tdTomato enriched,-0.64,0.02995,0.07537
Rnh1,RNH1,Q91VI7,RINI_MOUSE,Ribonuclease inhibitor,8711,14207,tdTomato enriched,-0.75,0.03001,0.07547
Nsf,NSF,P46460,NSF_MOUSE,Vesicle-fusing ATPase,191617,291744,tdTomato enriched,-0.64,0.03015,0.07574
Taldo1,TALDO1,Q93092,TALDO_MOUSE,Transaldolase,9465,14591,tdTomato enriched,-0.67,0.03053,0.07646
Uba1,UBA1,Q02053,UBA1_MOUSE,Ubiquitin-like modifier-activating enzyme 1,36282,67100,tdTomato enriched,-0.97,0.03056,0.07646
Atp6v1d,ATP6V1D,P57746,VATD_MOUSE,V-type proton ATPase subunit D,6455,17817,tdTomato enriched,-1.37,0.03057,0.07646
Rps25,RPS25,P62852,RS25_MOUSE,40S ribosomal protein S25,9675,17060,tdTomato enriched,-0.81,0.03113,0.07762
Ptprz1,PTPRZ1,B9EKR1,PTPRZ_MOUSE,Receptor-type tyrosine-protein phosphatase zeta,17715,31845,tdTomato enriched,-0.94,0.03150,0.07843
Arglu1,ARGLU1,Q3UL36,ARGL1_MOUSE,Arginine and glutamate-rich protein 1,12046,37595,tdTomato enriched,-1.42,0.03158,0.07854
