Mouse.Gene,Human.Gene,Uniprot ID,Protein Name,Protein Description,TurboID avg abundance,tdT avg abundance,Classification,logFC (TurboID vs. tdT),P.Value (TurboID vs. tdT),adj.P.Value (TurboID vs. tdT)
Sec61a1,SEC61A1,P61620,S61A1_MOUSE,Protein transport protein Sec61 subunit alpha isoform 1,31356,6271,TurboID enriched,10.49,0.003889,0.031465
Slc25a46,SLC25A46,Q9CQS4,S2546_MOUSE,Solute carrier family 25 member 46,90065,20172,TurboID enriched,11.66,0.003905,0.031465
Ndrg3,NDRG3,Q9QYF9,NDRG3_MOUSE,Protein NDRG3,22804,5455,TurboID enriched,10.23,0.003905,0.031465
Gabbr2,GABBR2,Q80T41,GABR2_MOUSE,Gamma-aminobutyric acid type B receptor subunit 2,54463,12998,TurboID enriched,11.14,0.003942,0.031465
Cyb5a,CYB5A,P56395,CYB5_MOUSE,Cytochrome b5,21377,5631,TurboID enriched,10.19,0.003959,0.031465
Clptm1,CLPTM1,Q8VBZ3,CLPT1_MOUSE,Cleft lip and palate transmembrane protein 1 homolog,34269,8999,TurboID enriched,10.68,0.003967,0.031465
Sfxn1,SFXN1,Q99JR1,SFXN1_MOUSE,Sideroflexin-1,62674,14202,TurboID enriched,11.26,0.003978,0.031465
Mink1,MINK1,Q9JM52,MINK1_MOUSE,Misshapen-like kinase 1,36671,9354,TurboID enriched,10.74,0.003981,0.031465
Gpm6a,GPM6A,P35802,GPM6A_MOUSE,Neuronal membrane glycoprotein M6-a,198748,39146,TurboID enriched,2.46,0.004004,0.031465
Il1rap,IL1RAP,Q61730,IL1AP_MOUSE,Interleukin-1 receptor accessory protein,21177,5492,TurboID enriched,10.16,0.004032,0.031465
Ntrk2,NTRK2,P15209,NTRK2_MOUSE,BDNF/NT-3 growth factors receptor,16717,4518,TurboID enriched,9.92,0.004042,0.031465
Msmo1,MSMO1,Q9CRA4,MSMO1_MOUSE,Methylsterol monooxygenase 1,22662,6105,TurboID enriched,10.24,0.004046,0.031465
Tmem11,TMEM11,Q8BK08,TMM11_MOUSE,"Transmembrane protein 11, mitochondrial",19127,5209,TurboID enriched,10.05,0.004087,0.031465
Ggt7,GGT7,Q99JP7,GGT7_MOUSE,Glutathione hydrolase 7,21315,5649,TurboID enriched,10.16,0.004091,0.031465
Gak,GAK,Q99KY4,GAK_MOUSE,Cyclin-G-associated kinase,37147,9832,TurboID enriched,10.74,0.004100,0.031465
Llgl1,LLGL1,Q80Y17,L2GL1_MOUSE,Lethal(2) giant larvae protein homolog 1,23040,6500,TurboID enriched,10.26,0.004122,0.031465
Cyp46a1,CYP46A1,Q9WVK8,CP46A_MOUSE,Cholesterol 24-hydroxylase,33678,8649,TurboID enriched,10.61,0.004125,0.031465
Anks1b,ANKS1B,Q8BIZ1,ANS1B_MOUSE,Ankyrin repeat and sterile alpha motif domain-containing protein 1B,31115,8162,TurboID enriched,10.54,0.004129,0.031465
Scamp1,SCAMP1,Q8K021,SCAM1_MOUSE,Secretory carrier-associated membrane protein 1,60671,14604,TurboID enriched,11.20,0.004152,0.031465
Agpat5,AGPAT5,Q9D1E8,PLCE_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,51665,13523,TurboID enriched,11.07,0.004155,0.031465
Ablim2,ABLIM2,Q8BL65,ABLM2_MOUSE,Actin-binding LIM protein 2,52034,13348,TurboID enriched,11.06,0.004158,0.031465
Elfn2,ELFN2,Q68FM6,PPR29_MOUSE,Protein phosphatase 1 regulatory subunit 29,15503,4375,TurboID enriched,9.83,0.004167,0.031465
Arl15,ARL15,Q8BGR6,ARL15_MOUSE,ADP-ribosylation factor-like protein 15,39454,10513,TurboID enriched,10.79,0.004170,0.031465
Csde1,CSDE1,Q91W50,CSDE1_MOUSE,Cold shock domain-containing protein E1,31429,5803,TurboID enriched,10.37,0.004183,0.031465
Sptan1,SPTAN1,P16546,SPTN1_MOUSE,"Spectrin alpha chain, non-erythrocytic 1",153751,38141,TurboID enriched,2.04,0.004218,0.031465
Preb,PREB,Q9WUQ2,PREB_MOUSE,Prolactin regulatory element-binding protein,79236,19816,TurboID enriched,11.48,0.004221,0.031465
Lrp1,LRP1,Q91ZX7,LRP1_MOUSE,Prolow-density lipoprotein receptor-related protein 1,27224,7500,TurboID enriched,10.39,0.004251,0.031465
Dmxl2,DMXL2,Q8BPN8,DMXL2_MOUSE,DmX-like protein 2,33880,9463,TurboID enriched,10.62,0.004291,0.031465
Limch1,LIMCH1,Q3UH68,LIMC1_MOUSE,LIM and calponin homology domains-containing protein 1,64005,16582,TurboID enriched,11.25,0.004313,0.031465
Them6,THEM6,Q80ZW2,THEM6_MOUSE,Protein THEM6,22761,6315,TurboID enriched,10.18,0.004329,0.031465
Scn2a,SCN2A,B1AWN6,SCN2A_MOUSE,Sodium channel protein type 2 subunit alpha,99619,25223,TurboID enriched,11.69,0.004356,0.031465
Spag9,SPAG9,Q58A65,JIP4_MOUSE,C-Jun-amino-terminal kinase-interacting protein 4,27588,8135,TurboID enriched,10.40,0.004365,0.031465
Arfgap1,ARFGAP1,Q9EPJ9,ARFG1_MOUSE,ADP-ribosylation factor GTPase-activating protein 1,28900,8241,TurboID enriched,10.43,0.004377,0.031465
Tjp2,TJP2,Q9Z0U1,ZO2_MOUSE,Tight junction protein ZO-2,58423,15593,TurboID enriched,11.14,0.004398,0.031465
Gna13,GNA13,P27601,GNA13_MOUSE,Guanine nucleotide-binding protein subunit alpha-13,42842,11948,TurboID enriched,10.83,0.004399,0.031465
Gabra4,GABRA4,Q9D6F4,GBRA4_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-4,35312,10345,TurboID enriched,10.65,0.004403,0.031465
Adcy1,ADCY1,O88444,ADCY1_MOUSE,Adenylate cyclase type 1,40415,11467,TurboID enriched,10.78,0.004411,0.031465
Slc27a1,SLC27A1,Q60714,S27A1_MOUSE,Long-chain fatty acid transport protein 1,114545,29824,TurboID enriched,11.83,0.004427,0.031465
Cd47,CD47,Q61735,CD47_MOUSE,Leukocyte surface antigen CD47,115271,19915,TurboID enriched,2.42,0.004465,0.031465
Rheb,RHEB,Q921J2,RHEB_MOUSE,GTP-binding protein Rheb,26428,7911,TurboID enriched,10.34,0.004468,0.031465
Ap3m2,AP3M2,Q8R2R9,AP3M2_MOUSE,AP-3 complex subunit mu-2,24075,7328,TurboID enriched,10.25,0.004484,0.031465
Grm2,GRM2,Q14BI2,GRM2_MOUSE,Metabotropic glutamate receptor 2,35080,9294,TurboID enriched,10.57,0.004555,0.031465
Eps15l1,EPS15L1,Q60902,EP15R_MOUSE,Epidermal growth factor receptor substrate 15-like 1,44203,10722,TurboID enriched,2.10,0.004557,0.031465
Nlgn3,NLGN3,Q8BYM5,NLGN3_MOUSE,Neuroligin-3,26455,7372,TurboID enriched,10.29,0.004571,0.031465
Nt5dc3,NT5DC3,Q3UHB1,NT5D3_MOUSE,5'-nucleotidase domain-containing protein 3,55848,15862,TurboID enriched,11.07,0.004583,0.031465
Ddx39b,DDX39B,Q9Z1N5,DX39B_MOUSE,Spliceosome RNA helicase Ddx39b,39027,11507,TurboID enriched,10.71,0.004584,0.031465
Sv2c,SV2C,Q69ZS6,SV2C_MOUSE,Synaptic vesicle glycoprotein 2C,27165,8484,TurboID enriched,10.36,0.004592,0.031465
Grm5,GRM5,Q3UVX5,GRM5_MOUSE,Metabotropic glutamate receptor 5,28141,8689,TurboID enriched,10.38,0.004616,0.031465
Vapb,VAPB,Q9QY76,VAPB_MOUSE,Vesicle-associated membrane protein-associated protein B,19954,6524,TurboID enriched,10.05,0.004629,0.031465
Slc7a5,SLC7A5,Q9Z127,LAT1_MOUSE,Large neutral amino acids transporter small subunit 1,48517,14585,TurboID enriched,10.94,0.004637,0.031465
Adgrl1,ADGRL1,Q80TR1,AGRL1_MOUSE,Adhesion G protein-coupled receptor L1,26670,8465,TurboID enriched,10.33,0.004651,0.031465
Vps11,VPS11,Q91W86,VPS11_MOUSE,Vacuolar protein sorting-associated protein 11 homolog,20518,6591,TurboID enriched,10.06,0.004677,0.031465
Copa,COPA,Q8CIE6,COPA_MOUSE,Coatomer subunit alpha,28985,9185,TurboID enriched,10.41,0.004679,0.031465
Clint1,CLINT1,Q99KN9,EPN4_MOUSE,Clathrin interactor 1,21351,6893,TurboID enriched,10.10,0.004705,0.031465
Dlg4,DLG4,Q62108,DLG4_MOUSE,Disks large homolog 4,20655,6638,TurboID enriched,10.05,0.004739,0.031465
Nhsl1,NHSL1,Q8CAF4,NHSL1_MOUSE,NHS-like protein 1,10437,3506,TurboID enriched,9.36,0.004763,0.031465
Lbr,LBR,Q3U9G9,LBR_MOUSE,Delta(14)-sterol reductase LBR,35973,11660,TurboID enriched,10.62,0.004792,0.031465
Dhrs1,DHRS1,Q99L04,DHRS1_MOUSE,Dehydrogenase/reductase SDR family member 1,20273,6253,TurboID enriched,10.00,0.004814,0.031465
Shank2,SHANK2,Q80Z38,SHAN2_MOUSE,SH3 and multiple ankyrin repeat domains protein 2,67130,18843,TurboID enriched,11.19,0.004834,0.031465
Cdip1,CDIP1,Q9DB75,CDIP1_MOUSE,Cell death-inducing p53-target protein 1,37784,11540,TurboID enriched,10.63,0.004847,0.031465
Them4,THEM4,Q3UUI3,THEM4_MOUSE,Acyl-coenzyme A thioesterase THEM4,57216,17433,TurboID enriched,11.06,0.004848,0.031465
Adcyap1r1,ADCYAP1R1,P70205,PACR_MOUSE,Pituitary adenylate cyclase-activating polypeptide type I receptor,25129,7473,TurboID enriched,10.21,0.004850,0.031465
Acadsb,ACADSB,Q9DBL1,ACDSB_MOUSE,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",17109,5385,TurboID enriched,9.81,0.004921,0.031465
Trappc4,TRAPPC4,Q9ES56,TPPC4_MOUSE,Trafficking protein particle complex subunit 4,10941,3695,TurboID enriched,9.37,0.004966,0.031465
Mfn2,MFN2,Q80U63,MFN2_MOUSE,Mitofusin-2,62919,19337,TurboID enriched,11.14,0.004968,0.031465
Nup214,NUP214,Q80U93,NU214_MOUSE,Nuclear pore complex protein Nup214,26159,8552,TurboID enriched,10.25,0.004984,0.031465
Aifm3,AIFM3,Q3TY86,AIFM3_MOUSE,Apoptosis-inducing factor 3,36414,12128,TurboID enriched,10.60,0.004993,0.031465
Sbf1,SBF1,Q6ZPE2,MTMR5_MOUSE,Myotubularin-related protein 5,30051,10377,TurboID enriched,10.41,0.005043,0.031465
Dars1,NA,Q922B2,SYDC_MOUSE,"Aspartate--tRNA ligase, cytoplasmic",20167,7136,TurboID enriched,10.00,0.005054,0.031465
Mtnd4,NA,P03911,NU4M_MOUSE,NADH-ubiquinone oxidoreductase chain 4,74378,21035,TurboID enriched,11.26,0.005060,0.031465
Scn2b,SCN2B,Q56A07,SCN2B_MOUSE,Sodium channel subunit beta-2,35539,12018,TurboID enriched,10.56,0.005076,0.031465
Arl8b,ARL8B,Q9CQW2,ARL8B_MOUSE,ADP-ribosylation factor-like protein 8B,68411,22735,TurboID enriched,11.23,0.005076,0.031465
Vdac3,VDAC3,Q60931,VDAC3_MOUSE,Voltage-dependent anion-selective channel protein 3,286212,66999,TurboID enriched,2.08,0.005119,0.031465
Slc25a10,SLC25A10,Q9QZD8,DIC_MOUSE,Mitochondrial dicarboxylate carrier,19648,6737,TurboID enriched,9.94,0.005168,0.031465
Rab35,RAB35,Q6PHN9,RAB35_MOUSE,Ras-related protein Rab-35,161684,33952,TurboID enriched,2.41,0.005180,0.031465
Tom1l2,TOM1L2,Q5SRX1,TM1L2_MOUSE,TOM1-like protein 2,49593,17056,TurboID enriched,10.89,0.005204,0.031465
Arhgap32,ARHGAP32,Q811P8,RHG32_MOUSE,Rho GTPase-activating protein 32,22768,8266,TurboID enriched,10.10,0.005225,0.031465
Rps2,RPS2,P25444,RS2_MOUSE,40S ribosomal protein S2,43030,10326,TurboID enriched,2.22,0.005268,0.031465
Gabrb3,GABRB3,P63080,GBRB3_MOUSE,Gamma-aminobutyric acid receptor subunit beta-3,31405,10776,TurboID enriched,10.39,0.005301,0.031465
Aldh6a1,ALDH6A1,Q9EQ20,MMSA_MOUSE,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",16028,5748,TurboID enriched,9.72,0.005329,0.031465
Prrt3,PRRT3,Q6PE13,PRRT3_MOUSE,Proline-rich transmembrane protein 3,38340,13953,TurboID enriched,10.62,0.005338,0.031465
Abhd12,ABHD12,Q99LR1,ABD12_MOUSE,Lysophosphatidylserine lipase ABHD12,28147,10325,TurboID enriched,10.29,0.005398,0.031465
Myo5a,MYO5A,Q99104,MYO5A_MOUSE,Unconventional myosin-Va,135644,37256,TurboID enriched,1.91,0.005422,0.031465
Fasn,FASN,P19096,FAS_MOUSE,Fatty acid synthase,36829,13842,TurboID enriched,10.57,0.005440,0.031465
Psmd1,PSMD1,Q3TXS7,PSMD1_MOUSE,26S proteasome non-ATPase regulatory subunit 1,15109,5925,TurboID enriched,9.67,0.005440,0.031465
Cyfip2,CYFIP2,Q5SQX6,CYFP2_MOUSE,Cytoplasmic FMR1-interacting protein 2,78314,17583,TurboID enriched,2.53,0.005447,0.031465
Dnajc6,DNAJC6,Q80TZ3,AUXI_MOUSE,Putative tyrosine-protein phosphatase auxilin,57363,19590,TurboID enriched,10.98,0.005452,0.031465
Stxbp5,STXBP5,Q8K400,STXB5_MOUSE,Syntaxin-binding protein 5,54012,20143,TurboID enriched,10.94,0.005533,0.031465
Pisd,PISD,Q8BSF4,PISD_MOUSE,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",16173,6183,TurboID enriched,9.71,0.005552,0.031465
Clasp2,CLASP2,Q8BRT1,CLAP2_MOUSE,CLIP-associating protein 2,34564,13174,TurboID enriched,10.48,0.005566,0.031465
Pals2,NA,Q9JLB0,PALS2_MOUSE,Protein PALS2,46397,16992,TurboID enriched,10.76,0.005603,0.031465
Mical3,MICAL3,Q8CJ19,MICA3_MOUSE,[F-actin]-monooxygenase MICAL3,42003,16385,TurboID enriched,10.68,0.005606,0.031465
Git1,GIT1,Q68FF6,GIT1_MOUSE,ARF GTPase-activating protein GIT1,16297,6394,TurboID enriched,9.72,0.005615,0.031465
Cask,CASK,O70589,CSKP_MOUSE,Peripheral plasma membrane protein CASK,30152,11794,TurboID enriched,10.34,0.005639,0.031465
Dlgap1,DLGAP1,Q9D415,DLGP1_MOUSE,Disks large-associated protein 1,29412,11528,TurboID enriched,10.31,0.005641,0.031465
Myh10,MYH10,Q61879,MYH10_MOUSE,Myosin-10,12555,4883,TurboID enriched,9.44,0.005668,0.031465
Rapgef4,RAPGEF4,Q9EQZ6,RPGF4_MOUSE,Rap guanine nucleotide exchange factor 4,20405,8184,TurboID enriched,9.94,0.005708,0.031465
Kif21a,KIF21A,Q9QXL2,KI21A_MOUSE,Kinesin-like protein KIF21A,17048,7026,TurboID enriched,9.76,0.005731,0.031465
Synpo,SYNPO,Q8CC35,SYNPO_MOUSE,Synaptopodin,45534,17031,TurboID enriched,10.72,0.005739,0.031465
Gdap1l1,GDAP1L1,Q8VE33,GD1L1_MOUSE,Ganglioside-induced differentiation-associated protein 1-like 1,22937,8844,TurboID enriched,10.03,0.005760,0.031465
C2cd5,C2CD5,Q7TPS5,C2CD5_MOUSE,C2 domain-containing protein 5,16535,6862,TurboID enriched,9.72,0.005798,0.031465
Cyfip1,CYFIP1,Q7TMB8,CYFP1_MOUSE,Cytoplasmic FMR1-interacting protein 1,46347,17978,TurboID enriched,10.73,0.005848,0.031465
Pfkp,PFKP,Q9WUA3,PFKAP_MOUSE,"ATP-dependent 6-phosphofructokinase, platelet type",49460,19194,TurboID enriched,10.80,0.005857,0.031465
Slc25a20,SLC25A20,Q9Z2Z6,MCAT_MOUSE,Mitochondrial carnitine/acylcarnitine carrier protein,172478,63015,TurboID enriched,12.04,0.005872,0.031465
Coro1b,CORO1B,Q9WUM3,COR1B_MOUSE,Coronin-1B,41357,16522,TurboID enriched,10.62,0.005872,0.031465
Cdk5,CDK5,P49615,CDK5_MOUSE,Cyclin-dependent-like kinase 5,20382,8658,TurboID enriched,9.93,0.005876,0.031465
Mtarc2,NA,Q922Q1,MARC2_MOUSE,Mitochondrial amidoxime reducing component 2,37327,14691,TurboID enriched,10.49,0.005965,0.031465
Lnpk,LNPK,Q7TQ95,LNP_MOUSE,Endoplasmic reticulum junction formation protein lunapark,20103,8608,TurboID enriched,9.90,0.005974,0.031465
Epha4,EPHA4,Q03137,EPHA4_MOUSE,Ephrin type-A receptor 4,32215,13045,TurboID enriched,10.35,0.005996,0.031465
Caskin1,CASKIN1,Q6P9K8,CSKI1_MOUSE,Caskin-1,25812,11079,TurboID enriched,10.15,0.006020,0.031465
Pgs1,PGS1,Q8BHF7,PGPS1_MOUSE,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",32525,13759,TurboID enriched,10.37,0.006054,0.031465
Iars2,IARS2,Q8BIJ6,SYIM_MOUSE,"Isoleucine--tRNA ligase, mitochondrial",19129,8284,TurboID enriched,9.84,0.006062,0.031465
Sdhc,SDHC,Q9CZB0,C560_MOUSE,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",52338,17350,TurboID enriched,10.74,0.006088,0.031465
Prkacb,PRKACB,P68181,KAPCB_MOUSE,cAMP-dependent protein kinase catalytic subunit beta,58680,24314,TurboID enriched,10.95,0.006094,0.031465
Wdr47,WDR47,Q8CGF6,WDR47_MOUSE,WD repeat-containing protein 47,12374,5816,TurboID enriched,9.42,0.006122,0.031465
Hspa12a,HSPA12A,Q8K0U4,HS12A_MOUSE,Heat shock 70 kDa protein 12A,30297,13239,TurboID enriched,10.29,0.006175,0.031465
Acly,ACLY,Q91V92,ACLY_MOUSE,ATP-citrate synthase,29709,12759,TurboID enriched,10.25,0.006221,0.031465
G6pdx,G6PD,Q00612,G6PD1_MOUSE,Glucose-6-phosphate 1-dehydrogenase X,15761,6204,TurboID enriched,9.56,0.006224,0.031465
Olfm1,OLFM1,O88998,NOE1_MOUSE,Noelin,30927,13315,TurboID enriched,10.28,0.006301,0.031465
Syp,SYP,Q62277,SYPH_MOUSE,Synaptophysin,209983,52590,TurboID enriched,2.15,0.006336,0.031465
Prpf8,PRPF8,Q99PV0,PRP8_MOUSE,Pre-mRNA-processing-splicing factor 8,40454,18574,TurboID enriched,10.56,0.006377,0.031465
Gde1,GDE1,Q9JL56,GDE1_MOUSE,Glycerophosphodiester phosphodiesterase 1,19537,8049,TurboID enriched,9.78,0.006387,0.031465
Gnb5,GNB5,P62881,GNB5_MOUSE,Guanine nucleotide-binding protein subunit beta-5,14461,6123,TurboID enriched,9.48,0.006399,0.031465
Iqsec1,IQSEC1,Q8R0S2,IQEC1_MOUSE,IQ motif and SEC7 domain-containing protein 1,27715,12938,TurboID enriched,10.19,0.006399,0.031465
Coro7,CORO7,Q9D2V7,CORO7_MOUSE,Coronin-7,24130,10800,TurboID enriched,10.03,0.006422,0.031465
Kctd16,KCTD16,Q5DTY9,KCD16_MOUSE,BTB/POZ domain-containing protein KCTD16,28665,13012,TurboID enriched,10.19,0.006463,0.031465
Micos13,NA,Q8R404,MIC13_MOUSE,MICOS complex subunit MIC13,14075,6448,TurboID enriched,9.48,0.006476,0.031465
Nbea,NBEA,Q9EPN1,NBEA_MOUSE,Neurobeachin,26571,12722,TurboID enriched,10.14,0.006480,0.031465
Cct7,CCT7,P80313,TCPH_MOUSE,T-complex protein 1 subunit eta,16767,8220,TurboID enriched,9.68,0.006526,0.031465
Hapln1,HAPLN1,Q9QUP5,HPLN1_MOUSE,Hyaluronan and proteoglycan link protein 1,58302,25581,TurboID enriched,10.88,0.006538,0.031465
Decr1,DECR1,Q9CQ62,DECR_MOUSE,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",16376,7386,TurboID enriched,9.61,0.006561,0.031465
Acot1,NA,O55137,ACOT1_MOUSE,Acyl-coenzyme A thioesterase 1,15628,7620,TurboID enriched,9.60,0.006579,0.031465
Sec23a,SEC23A,Q01405,SC23A_MOUSE,Protein transport protein Sec23A,23399,11219,TurboID enriched,9.99,0.006580,0.031465
Gsr,GSR,P47791,GSHR_MOUSE,"Glutathione reductase, mitochondrial",9841,4825,TurboID enriched,9.13,0.006586,0.031465
Dbn1,DBN1,Q9QXS6,DREB_MOUSE,Drebrin,19738,9601,TurboID enriched,9.83,0.006595,0.031465
Comt,COMT,O88587,COMT_MOUSE,Catechol O-methyltransferase,29199,14220,TurboID enriched,10.22,0.006597,0.031465
Txnrd2,TXNRD2,Q9JLT4,TRXR2_MOUSE,"Thioredoxin reductase 2, mitochondrial",12380,5618,TurboID enriched,9.33,0.006601,0.031465
Gucy1b1,NA,O54865,GCYB1_MOUSE,Guanylate cyclase soluble subunit beta-1,15212,7224,TurboID enriched,9.56,0.006605,0.031465
Gphn,GPHN,Q8BUV3,GEPH_MOUSE,Gephyrin,16833,8096,TurboID enriched,9.66,0.006609,0.031465
Syngr1,SYNGR1,O55100,SNG1_MOUSE,Synaptogyrin-1,189882,39669,TurboID enriched,2.46,0.006610,0.031465
Flot1,FLOT1,O08917,FLOT1_MOUSE,Flotillin-1,19626,9132,TurboID enriched,9.79,0.006632,0.031465
Twf1,TWF1,Q91YR1,TWF1_MOUSE,Twinfilin-1,25079,12177,TurboID enriched,10.06,0.006659,0.031465
Ddb1,DDB1,Q3U1J4,DDB1_MOUSE,DNA damage-binding protein 1,20979,10545,TurboID enriched,9.89,0.006679,0.031465
Pfkl,PFKL,P12382,PFKAL_MOUSE,"ATP-dependent 6-phosphofructokinase, liver type",26539,12636,TurboID enriched,10.10,0.006694,0.031465
Cct6a,CCT6A,P80317,TCPZ_MOUSE,T-complex protein 1 subunit zeta,13725,6981,TurboID enriched,9.46,0.006695,0.031465
Mag,MAG,P20917,MAG_MOUSE,Myelin-associated glycoprotein,46927,22435,TurboID enriched,10.67,0.006699,0.031465
Ndufa7,NDUFA7,Q9Z1P6,NDUA7_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,12489,6295,TurboID enriched,9.36,0.006705,0.031465
Prrt1,PRRT1,O35449,PRRT1_MOUSE,Proline-rich transmembrane protein 1,15758,7276,TurboID enriched,9.57,0.006721,0.031465
Enah,ENAH,Q03173,ENAH_MOUSE,Protein enabled homolog,34149,15651,TurboID enriched,10.33,0.006736,0.031465
Dctn1,DCTN1,O08788,DCTN1_MOUSE,Dynactin subunit 1,10649,5404,TurboID enriched,9.20,0.006739,0.031465
Rps23,RPS23,P62267,RS23_MOUSE,40S ribosomal protein S23,73939,19958,TurboID enriched,1.92,0.006770,0.031465
Dnm3,DNM3,Q8BZ98,DYN3_MOUSE,Dynamin-3,23673,11826,TurboID enriched,9.99,0.006788,0.031465
Prkcd,PRKCD,P28867,KPCD_MOUSE,Protein kinase C delta type,18765,9570,TurboID enriched,9.76,0.006808,0.031465
Ajm1,NA,A2AJA9,AJM1_MOUSE,Apical junction component 1 homolog,16099,7710,TurboID enriched,9.58,0.006826,0.031465
Src,SRC,P05480,SRC_MOUSE,Neuronal proto-oncogene tyrosine-protein kinase Src,27325,13379,TurboID enriched,10.11,0.006856,0.031465
Pitpnm2,PITPNM2,Q6ZPQ6,PITM2_MOUSE,Membrane-associated phosphatidylinositol transfer protein 2,24785,12533,TurboID enriched,10.03,0.006863,0.031465
Septin6,NA,Q9R1T4,SEPT6_MOUSE,Septin-6,15724,7923,TurboID enriched,9.57,0.006877,0.031465
Specc1,SPECC1,Q5SXY1,CYTSB_MOUSE,Cytospin-B,19565,9876,TurboID enriched,9.78,0.006913,0.031465
Camk2g,CAMK2G,Q923T9,KCC2G_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit gamma,15174,7342,TurboID enriched,9.51,0.006933,0.031465
Sqor,SQOR,Q9R112,SQOR_MOUSE,"Sulfide:quinone oxidoreductase, mitochondrial",9443,4819,TurboID enriched,9.05,0.006976,0.031465
Hadh,HADH,Q61425,HCDH_MOUSE,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",13131,6835,TurboID enriched,9.38,0.006985,0.031465
Madd,MADD,Q80U28,MADD_MOUSE,MAP kinase-activating death domain protein,20636,10477,TurboID enriched,9.82,0.006987,0.031465
Cdc42,NA,P60766,CDC42_MOUSE,Cell division control protein 42 homolog,94888,23444,TurboID enriched,2.02,0.006988,0.031465
Acot7,ACOT7,Q91V12,BACH_MOUSE,Cytosolic acyl coenzyme A thioester hydrolase,83286,40426,TurboID enriched,11.20,0.007009,0.031465
Ykt6,YKT6,Q9CQW1,YKT6_MOUSE,Synaptobrevin homolog YKT6,12024,6360,TurboID enriched,9.30,0.007027,0.031465
Yme1l1,YME1L1,O88967,YMEL1_MOUSE,ATP-dependent zinc metalloprotease YME1L1,120807,19077,TurboID enriched,2.47,0.007035,0.031465
Pdlim5,PDLIM5,Q8CI51,PDLI5_MOUSE,PDZ and LIM domain protein 5,10007,5233,TurboID enriched,9.11,0.007041,0.031465
Upf1,UPF1,Q9EPU0,RENT1_MOUSE,Regulator of nonsense transcripts 1,27682,14622,TurboID enriched,10.13,0.007046,0.031465
Adh5,ADH5,P28474,ADHX_MOUSE,Alcohol dehydrogenase class-3,20532,10699,TurboID enriched,9.82,0.007071,0.031465
Cpne3,CPNE3,Q8BT60,CPNE3_MOUSE,Copine-3,20980,11158,TurboID enriched,9.85,0.007081,0.031465
Eef1d,EEF1D,P57776,EF1D_MOUSE,Elongation factor 1-delta,38861,19927,TurboID enriched,10.44,0.007091,0.031465
Cspg5,CSPG5,Q71M36,CSPG5_MOUSE,Chondroitin sulfate proteoglycan 5,42554,20821,TurboID enriched,10.51,0.007109,0.031465
Icam5,ICAM5,Q60625,ICAM5_MOUSE,Intercellular adhesion molecule 5,33416,15624,TurboID enriched,10.25,0.007137,0.031465
Vdac2,VDAC2,Q60930,VDAC2_MOUSE,Voltage-dependent anion-selective channel protein 2,217744,60283,TurboID enriched,1.82,0.007144,0.031465
Dynll1,DYNLL1,P63168,DYL1_MOUSE,"Dynein light chain 1, cytoplasmic",52048,26716,TurboID enriched,10.73,0.007160,0.031465
Map1b,MAP1B,P14873,MAP1B_MOUSE,Microtubule-associated protein 1B,30833,16295,TurboID enriched,10.21,0.007175,0.031465
Prrt2,PRRT2,E9PUL5,PRRT2_MOUSE,Proline-rich transmembrane protein 2,22990,12364,TurboID enriched,9.93,0.007187,0.031465
Uqcrh,UQCRHL,P99028,QCR6_MOUSE,"Cytochrome b-c1 complex subunit 6, mitochondrial",14799,7399,TurboID enriched,9.45,0.007222,0.031465
Vat1,VAT1,Q62465,VAT1_MOUSE,Synaptic vesicle membrane protein VAT-1 homolog,30326,16270,TurboID enriched,10.19,0.007234,0.031465
Ktn1,KTN1,Q61595,KTN1_MOUSE,Kinectin,35700,18946,TurboID enriched,10.35,0.007236,0.031465
Tns3,TNS3,Q5SSZ5,TENS3_MOUSE,Tensin-3,18035,9892,TurboID enriched,9.68,0.007247,0.031465
Mtnd5,NA,P03921,NU5M_MOUSE,NADH-ubiquinone oxidoreductase chain 5,45853,10097,TurboID enriched,10.25,0.007256,0.031465
Tmod2,TMOD2,Q9JKK7,TMOD2_MOUSE,Tropomodulin-2,21477,11766,TurboID enriched,9.85,0.007260,0.031465
Astn1,ASTN1,Q61137,ASTN1_MOUSE,Astrotactin-1,13060,7313,TurboID enriched,9.37,0.007283,0.031465
Cct8,CCT8,P42932,TCPQ_MOUSE,T-complex protein 1 subunit theta,168129,41933,TurboID enriched,2.22,0.007285,0.031465
Amer2,AMER2,Q8CCJ4,AMER2_MOUSE,APC membrane recruitment protein 2,13673,7658,TurboID enriched,9.40,0.007345,0.031586
